Zone,Coordinates,Description
Eastern Altepa Desert,(F-10),Near the regional outpost
Western Altepa Desert,(K-7),Near the regional outpost / Rabao zone
Rabao,(G-11),Town - near the Home Point
Cape Teriggan,(G-8),Near the regional outpost
Valley of Sorrows,(F-8),Near zone from Cape Teriggan
Kuftal Tunnel,(H-9),Near main entrance from Cape Teriggan
Gustav Tunnel,(K-7),Near main entrance from Valley of Sorrows / Attohwa Chasm
Yuhtunga Jungle,(G-11),Near the regional outpost / Kazham zone
Sea Serpent Grotto,(M-3),Near main entrance from Norg
Kazham,(G-9),Town - near the Home Point
Norg,(H-9),Town - near entrance to Sea Serpent Grotto
Yhoator Jungle,(I-8),Near the regional outpost
Temple of Uggalepih,(F-6),Map 1 - near main entrance from Yhoator Jungle
Ifrit's Cauldron,(K-9),Map 4 - deeper section
Ru'Aun Gardens,(H-12),Sky - near zone entrance
Oldton Movalpolos,(F-10),Near main entrance from Newton Movalpolos
Lufaise Meadows,(E-8),Near zone to Tavnazian Safehold
Misareaux Coast,(G-7),Near zone to Riverne - Site #B01
Phomiuna Aqueducts,(J-10),Near zone from Misareaux Coast
Sacrarium,(E-7),Near zone from Lufaise Meadows
Wajaom Woodlands,(C-8),Near zone from Aht Urhgan Whitegate
Mamook,(J-7),Map 1 - near main entrance from Wajaom Woodlands
Aydeewa Subterrane,(H-10),Map 2 - near zone from Bhaflau Thickets
Halvung,(N-5),Map 1 - near main entrance from Mount Zhayolm
Nashmau,(G-8),Town - next to the docks and Home Point
Arrapago Reef,(H-11),Map 1 - near main entrance from Caedarva Mire
Caedarva Mire,(G-6),Map 2 - on Dvucca Isle, near zone to Arrapago Reef
Southern San d'Oria [S],(K-10),Near the Home Point / Cathedral area
East Ronfaure [S],(J-11),Near zone from Southern San d'Oria [S]
Jugner Forest [S],(G-11),Near zone to La Vaule [S]
Batallia Downs [S],(F-9),Near zone from Jugner Forest [S]
The Eldieme Necropolis [S],(J-9),Near the entrance from Batallia Downs [S]
Bastok Markets [S],(G-4),Near the Home Point in town
North Gustaberg [S],(F-7),Near zone to Grauberg [S]
Grauberg [S],(L-4),Near zone from North Gustaberg [S]
Vunkerl Inlet [S],(E-7),Near zone to Jugner Forest [S]
Pashhow Marshlands [S],(E-7),Near zone to Beadeaux [S]
Rolanberry Fields [S],(I-14),Southern part of the map
Crawlers' Nest [S],(M-8),Near main entrance from Rolanberry Fields [S]
Windurst Waters [S],(F-5),North Windurst Waters near Home Point
West Sarutabaruta [S],(I-5),Near zone to Fort Karugo-Narugo [S]
Fort Karugo-Narugo [S],(I-5),Near zone from West Sarutabaruta [S]
Meriphataud Mountains [S],(I-5),Near zone from Fort Karugo-Narugo [S]
Sauromugue Champaign [S],(K-11),Near zone from Meriphataud Mountains [S]
Garlaige Citadel [S],(G-7),Near main entrance from Sauromugue Champaign [S]
Beaucedine Glacier [S],(G-7),Near zone to Xarcabard [S]
Castle Zvahl Baileys [S],(J-8),Near zone to Xarcabard [S]
Eastern Adoulin,(H-11),Adoulin town - near the Home Point / west of the western commissions counter
